Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
C10,CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder,1,DNP,
"C11, C12, C13, C14, C7",1210,5,47uF,
C15,1210,1,47 uF,
"C16, C17",0603,2,10 uF,
C2,0603,1,0.1uF,
C3,0603,1,2400 pF,
"C4, C5",0603,2,0.1 uF,
C6,0603,1,150 pF,
C8,0603,1,22 uF,
C9,CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder,1,68 uF,
"CN1, CN2, CN3",0678008025_SATA_Conn,3,0678008025_SATA_Conn,
D1,0805,1,LED_Small,
H1,Slide Mount Hole,1,MountingHole_Pad,
"J1, J7, J8",10124274-001TRLF,3,~,
J2,6_pin_PCI_PWR,1,Conn_02x03_Odd_Even,
J3,TE_1888019-2,1,1888019-2,
JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm_NumberLabels,1,Jumper_3_Bridged12,
L1,L_12x12mm_H8mm,1,15 uH,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,Q_NMOS_DGS,
R1,0603,1,19.1 k,
"R10, R3",0603,2,10k,
R2,0603,1,52.3k,
"R4, R5, R6, R7",0603,4,500 k ,
R8,0603,1,100 k,
R9,0603,1,500 k,
TP1,TheColonelCu,1,TestPoint_Probe,
U1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,BD9E302EFJ-E2,
